Site Occupation Location,Toponyms,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area
16,Pelliccione,A,Late Imperial Period,10,300,400,100,0.30000001
17,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
17,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
17,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
17,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
18,Vallone Carnevale,A,Republican Period,7,-350,-30,320,0.1
18,Vallone Carnevale,A,Early Imperial Period,8,-30,100,130,0.1
18,Vallone Carnevale,A,Mid-Imperial Period,9,100,300,200,0.1
18,Vallone Carnevale,A,Late Imperial Period,10,300,400,100,0.1
19,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
20,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
20,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
20,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
20,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
21,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
21,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
21,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
21,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
22,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
22,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
22,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
22,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
23,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
23,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
23,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
23,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
24,Finocchierelle,A,Republican Period,7,-350,-30,320,0.40000001
24,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.40000001
24,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.40000001
24,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.40000001
25,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
25,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
25,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
25,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
26,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
26,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
26,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
26,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
27,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
27,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
27,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
27,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
28,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
28,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
28,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
28,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
29,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
29,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
29,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
29,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
30,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
30,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
30,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
30,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
31,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
31,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
31,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
31,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
32,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
32,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
32,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
32,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
33,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
33,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
33,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
33,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
34,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
34,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
34,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
34,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
35,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
35,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
35,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
35,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
36,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
36,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
36,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
36,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
37,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
37,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
37,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
37,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
38,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
38,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
38,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
38,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
39,Finocchierelle,A,Republican Period,7,-350,-30,320,0.1
39,Finocchierelle,A,Early Imperial Period,8,-30,100,130,0.1
39,Finocchierelle,A,Mid-Imperial Period,9,100,300,200,0.1
39,Finocchierelle,A,Late Imperial Period,10,300,400,100,0.1
40,Selvapiana,A,Republican Period,7,-350,-30,320,0.1
40,Selvapiana,A,Early Imperial Period,8,-30,100,130,0.1
40,Selvapiana,A,Mid-Imperial Period,9,100,300,200,0.1
40,Selvapiana,A,Late Imperial Period,10,300,400,100,0.1
41,Selvapiana,A,Republican Period,7,-350,-30,320,0.1
41,Selvapiana,A,Early Imperial Period,8,-30,100,130,0.1
41,Selvapiana,A,Mid-Imperial Period,9,100,300,200,0.1
41,Selvapiana,A,Late Imperial Period,10,300,400,100,0.1
42,Selvapiana,A,Republican Period,7,-350,-30,320,0.1
42,Selvapiana,A,Early Imperial Period,8,-30,100,130,0.1
42,Selvapiana,A,Mid-Imperial Period,9,100,300,200,0.1
42,Selvapiana,A,Late Imperial Period,10,300,400,100,0.1
43,Selvapiana,A,Republican Period,7,-350,-30,320,0.1
43,Selvapiana,A,Early Imperial Period,8,-30,100,130,0.1
43,Selvapiana,A,Mid-Imperial Period,9,100,300,200,0.1
43,Selvapiana,A,Late Imperial Period,10,300,400,100,0.1
44,Selvapiana,A,Republican Period,7,-350,-30,320,0.1
44,Selvapiana,A,Early Imperial Period,8,-30,100,130,0.1
44,Selvapiana,A,Mid-Imperial Period,9,100,300,200,0.1
44,Selvapiana,A,Late Imperial Period,10,300,400,100,0.1
45,Selvapiana,A,Republican Period,7,-350,-30,320,0.1
45,Selvapiana,A,Early Imperial Period,8,-30,100,130,0.1
45,Selvapiana,A,Mid-Imperial Period,9,100,300,200,0.1
45,Selvapiana,A,Late Imperial Period,10,300,400,100,0.1
46,Selvapiana,A,Republican Period,7,-350,-30,320,0.1
46,Selvapiana,A,Early Imperial Period,8,-30,100,130,0.1
46,Selvapiana,A,Mid-Imperial Period,9,100,300,200,0.1
46,Selvapiana,A,Late Imperial Period,10,300,400,100,0.1
47,Selvapiana,A,Republican Period,7,-350,-30,320,0.1
47,Selvapiana,A,Early Imperial Period,8,-30,100,130,0.1
47,Selvapiana,A,Mid-Imperial Period,9,100,300,200,0.1
47,Selvapiana,A,Late Imperial Period,10,300,400,100,0.1
48,Selvapiana,A,Republican Period,7,-350,-30,320,0.1
48,Selvapiana,A,Early Imperial Period,8,-30,100,130,0.1
48,Selvapiana,A,Mid-Imperial Period,9,100,300,200,0.1
48,Selvapiana,A,Late Imperial Period,10,300,400,100,0.1
49,Selvapiana,A,Republican Period,7,-350,-30,320,0.1
49,Selvapiana,A,Early Imperial Period,8,-30,100,130,0.1
49,Selvapiana,A,Mid-Imperial Period,9,100,300,200,0.1
49,Selvapiana,A,Late Imperial Period,10,300,400,100,0.1
50,Valle Foglino,A,Republican Period,7,-350,-30,320,0.5
51,Valle Foglino,A,Republican Period,7,-350,-30,320,0.1
51,Valle Foglino,A,Early Imperial Period,8,-30,100,130,0.1
51,Valle Foglino,A,Mid-Imperial Period,9,100,300,200,0.1
51,Valle Foglino,A,Late Imperial Period,10,300,400,100,0.1
52,Valle Foglino,A,Republican Period,7,-350,-30,320,0.1
52,Valle Foglino,A,Early Imperial Period,8,-30,100,130,0.1
52,Valle Foglino,A,Mid-Imperial Period,9,100,300,200,0.1
52,Valle Foglino,A,Late Imperial Period,10,300,400,100,0.1
53,Pantano Potassa,A,Republican Period,7,-350,-30,320,0.1
53,Pantano Potassa,A,Early Imperial Period,8,-30,100,130,0.1
53,Pantano Potassa,A,Mid-Imperial Period,9,100,300,200,0.1
53,Pantano Potassa,A,Late Imperial Period,10,300,400,100,0.1
54,Pantano Potassa,A,Republican Period,7,-350,-30,320,0.1
54,Pantano Potassa,A,Early Imperial Period,8,-30,100,130,0.1
54,Pantano Potassa,A,Mid-Imperial Period,9,100,300,200,0.1
54,Pantano Potassa,A,Late Imperial Period,10,300,400,100,0.1
55,Riserva del Nespolo,A,Republican Period,7,-350,-30,320,0.1
55,Riserva del Nespolo,A,Early Imperial Period,8,-30,100,130,0.1
55,Riserva del Nespolo,A,Mid-Imperial Period,9,100,300,200,0.1
55,Riserva del Nespolo,A,Late Imperial Period,10,300,400,100,0.1
56,Riserva del Nespolo,A,Republican Period,7,-350,-30,320,0.1
56,Riserva del Nespolo,A,Early Imperial Period,8,-30,100,130,0.1
56,Riserva del Nespolo,A,Mid-Imperial Period,9,100,300,200,0.1
56,Riserva del Nespolo,A,Late Imperial Period,10,300,400,100,0.1
57,Riserva Mattone,A,Republican Period,7,-350,-30,320,0.1
57,Riserva Mattone,A,Early Imperial Period,8,-30,100,130,0.1
57,Riserva Mattone,A,Mid-Imperial Period,9,100,300,200,0.1
57,Riserva Mattone,A,Late Imperial Period,10,300,400,100,0.1
58,Spinacceto,A,Late Iron Age,5,-600,-580,20,0.40000001
58,Spinacceto,A,Archaic Period,6,-580,-350,230,0.40000001
58,Spinacceto,B,Republican Period,7,-250,-30,220,0.40000001
58,Spinacceto,B,Early Imperial Period,8,-30,100,130,0.40000001
58,Spinacceto,B,Mid-Imperial Period,9,100,250,150,0.40000001
59,Spinacceto,A,Republican Period,7,-350,-30,320,0.1
59,Spinacceto,A,Early Imperial Period,8,-30,100,130,0.1
59,Spinacceto,A,Mid-Imperial Period,9,100,300,200,0.1
59,Spinacceto,A,Late Imperial Period,10,300,400,100,0.1
60,Pantano del'Intossicata,A,Republican Period,7,-350,-30,320,0.1
60,Pantano del'Intossicata,A,Early Imperial Period,8,-30,100,130,0.1
60,Pantano del'Intossicata,A,Mid-Imperial Period,9,100,300,200,0.1
60,Pantano del'Intossicata,A,Late Imperial Period,10,300,400,100,0.1
61,Orti Maoni / Intossicata,A,Late Iron Age,5,-600,-580,20,0.1
61,Orti Maoni / Intossicata,A,Archaic Period,6,-580,-500,80,0.1
61,Orti Maoni / Intossicata,B,Republican Period,7,-350,-30,320,0.1
62,Orti Maoni / Intossicata,A,Late Iron Age,5,-600,-580,20,0.69999999
62,Orti Maoni / Intossicata,A,Archaic Period,6,-580,-350,230,0.69999999
62,Orti Maoni / Intossicata,B,Republican Period,7,-250,-30,220,0.69999999
62,Orti Maoni / Intossicata,B,Early Imperial Period,8,-30,100,130,0.69999999
62,Orti Maoni / Intossicata,B,Mid-Imperial Period,9,100,250,150,0.69999999
63,unknown,A,Republican Period,7,-350,-30,320,0.1
63,unknown,A,Early Imperial Period,8,-30,100,130,0.1
63,unknown,A,Mid-Imperial Period,9,100,300,200,0.1
63,unknown,A,Late Imperial Period,10,300,400,100,0.1
64,Piscina della Farna,A,Republican Period,7,-350,-30,320,0.1
64,Piscina della Farna,A,Early Imperial Period,8,-30,100,130,0.1
64,Piscina della Farna,A,Mid-Imperial Period,9,100,300,200,0.1
64,Piscina della Farna,A,Late Imperial Period,10,300,400,100,0.1
65,Piscina della Farna,A,Late Iron Age,5,-700,-600,100,0.039999999
65,Piscina della Farna,B,Archaic Period,6,-500,-350,150,0.039999999
65,Piscina della Farna,C,Republican Period,7,-250,-30,220,0.039999999
65,Piscina della Farna,C,Early Imperial Period,8,-30,100,130,0.039999999
66,Piscina dell Farna,A,Republican Period,7,-350,-30,320,0.1
66,Piscina dell Farna,A,Early Imperial Period,8,-30,100,130,0.1
66,Piscina dell Farna,A,Mid-Imperial Period,9,100,300,200,0.1
66,Piscina dell Farna,A,Late Imperial Period,10,300,400,100,0.1
67,Tre Cancelli,A,Early Imperial Period,8,-30,100,130,0.1
67,Tre Cancelli,A,Mid-Imperial Period,9,100,250,150,0.1
68,Cadolino,A,Early Imperial Period,8,-30,100,130,0.1
68,Cadolino,A,Mid-Imperial Period,9,100,250,150,0.1
69,Cadolino,A,Early Imperial Period,8,-30,100,130,0.1
69,Cadolino,A,Mid-Imperial Period,9,100,250,150,0.1
70,Cadolino,A,Early Iron Age,4,-800,-750,50,1
70,Cadolino,A,Late Iron Age,5,-750,-700,50,1
70,Cadolino,B,Early Imperial Period,8,-30,100,130,1
70,Cadolino,B,Mid-Imperial Period,9,100,250,150,1
71,Ospedaletto,A,Late Iron Age,5,-600,-580,20,0.2
71,Ospedaletto,A,Archaic Period,6,-580,-350,230,0.2
71,Ospedaletto,B,Republican Period,7,-250,-30,220,0.2
71,Ospedaletto,B,Early Imperial Period,8,-30,100,130,0.2
71,Ospedaletto,B,Mid-Imperial Period,9,100,300,200,0.2
71,Ospedaletto,B,Late Imperial Period,10,300,400,100,0.2
72,Piscina Cardillo,A,Middle Bronze Age,2,-1700,-1300,400,0.2
72,Piscina Cardillo,A,Late Bronze Age,3,-1300,-1020,280,0.2
72,Piscina Cardillo,B,Late Iron Age,5,-600,-580,20,0.2
72,Piscina Cardillo,B,Archaic Period,6,-580,-350,230,0.2
72,Piscina Cardillo,B,Republican Period,7,-350,-30,320,0.2
72,Piscina Cardillo,B,Early Imperial Period,8,-30,100,130,0.2
72,Piscina Cardillo,B,Mid-Imperial Period,9,100,250,150,0.2
73,Campana,A,Middle Bronze Age,2,-1700,-1300,400,0.2
73,Campana,A,Late Bronze Age,3,-1300,-1020,280,0.2
74,Campana,A,Early Imperial Period,8,-30,100,130,0.1
74,Campana,A,Mid-Imperial Period,9,100,300,200,0.1
74,Campana,A,Late Imperial Period,10,300,400,100,0.1
75,Campana,A,Middle Bronze Age,2,-1700,-1350,350,1
76,Campana,A,Late Iron Age,5,-600,-580,20,1
76,Campana,A,Archaic Period,6,-580,-500,80,1
76,Campana,B,Republican Period,7,-350,-30,320,1
76,Campana,B,Early Imperial Period,8,-30,100,130,1
76,Campana,B,Mid-Imperial Period,9,100,300,200,1
76,Campana,B,Late Imperial Period,10,300,500,200,1
76,Campana,B,Late Antique Period,11,500,700,200,1
77,Campana,A,Republican Period,7,-100,-30,70,0.2
77,Campana,A,Early Imperial Period,8,-30,100,130,0.2
78,Torre del Monumento,A,Republican Period,7,-350,-100,250,0.40000001
78,Torre del Monumento,B,Early Imperial Period,8,-30,100,130,0.40000001
78,Torre del Monumento,B,Mid-Imperial Period,9,100,300,200,0.40000001
78,Torre del Monumento,B,Late Imperial Period,10,300,500,200,0.40000001
78,Torre del Monumento,B,Late Antique Period,11,500,600,100,0.40000001
79,Torre del Monumento,A,Archaic Period,6,-500,-350,150,0.1
79,Torre del Monumento,A,Republican Period,7,-350,-100,250,0.1
79,Torre del Monumento,B,Early Imperial Period,8,-30,100,130,0.1
79,Torre del Monumento,B,Mid-Imperial Period,9,100,250,150,0.1
80,,A,Republican Period,7,-350,-30,320,0.1
80,,A,Early Imperial Period,8,-30,100,130,0.1
80,,A,Mid-Imperial Period,9,100,300,200,0.1
80,,A,Late Imperial Period,10,300,400,100,0.1
81,Pineta della Campana,A,Late Iron Age,5,-700,-580,120,0.079999998
81,Pineta della Campana,A,Archaic Period,6,-580,-500,80,0.079999998
81,Pineta della Campana,B,Republican Period,7,-250,-30,220,0.079999998
81,Pineta della Campana,B,Early Imperial Period,8,-30,100,130,0.079999998
81,Pineta della Campana,B,Mid-Imperial Period,9,100,300,200,0.079999998
81,Pineta della Campana,B,Late Imperial Period,10,300,400,100,0.079999998
82,Pineta della Campana,A,Republican Period,7,-350,-30,320,0.1
82,Pineta della Campana,A,Early Imperial Period,8,-30,100,130,0.1
82,Pineta della Campana,A,Mid-Imperial Period,9,100,300,200,0.1
82,Pineta della Campana,A,Late Imperial Period,10,300,400,100,0.1
83,Campana,A,Early Iron Age,4,-800,-750,50,0.1
83,Campana,A,Late Iron Age,5,-750,-700,50,0.1
84,Piscina Cardillo,A,Early Iron Age,4,-800,-750,50,0.1
84,Piscina Cardillo,A,Late Iron Age,5,-750,-700,50,0.1
85,Campana,A,Late Iron Age,5,-600,-580,20,0.090000004
85,Campana,A,Archaic Period,6,-580,-350,230,0.090000004
86,Campana,A,Republican Period,7,-350,-30,320,0.1
86,Campana,A,Early Imperial Period,8,-30,100,130,0.1
86,Campana,A,Mid-Imperial Period,9,100,300,200,0.1
86,Campana,A,Late Imperial Period,10,300,400,100,0.1
87,Campana,A,Early Iron Age,4,-800,-750,50,0.80000001
87,Campana,A,Late Iron Age,5,-750,-700,50,0.80000001
87,Campana,B,Archaic Period,6,-500,-350,150,0.80000001
87,Campana,C,Republican Period,7,-250,-30,220,0.80000001
87,Campana,C,Early Imperial Period,8,-30,100,130,0.80000001
87,Campana,C,Mid-Imperial Period,9,100,250,150,0.80000001
88,Opsedaletto,A,Republican Period,7,-350,-30,320,0.1
88,Opsedaletto,A,Early Imperial Period,8,-30,100,130,0.1
88,Opsedaletto,A,Mid-Imperial Period,9,100,300,200,0.1
88,Opsedaletto,A,Late Imperial Period,10,300,400,100,0.1
89,Campana,A,Archaic Period,6,-500,-350,150,0.1
89,Campana,A,Republican Period,7,-350,-100,250,0.1
89,Campana,B,Mid-Imperial Period,9,100,250,150,0.1
90,Ospedaletto,A,Republican Period,7,-350,-30,320,0.1
90,Ospedaletto,A,Early Imperial Period,8,-30,100,130,0.1
90,Ospedaletto,A,Mid-Imperial Period,9,100,300,200,0.1
90,Ospedaletto,A,Late Imperial Period,10,300,400,100,0.1
91,Piscina Cardillo,A,Late Iron Age,5,-700,-600,100,0.1
92,Piscina Cardillo,A,Republican Period,7,-350,-30,320,0.1
92,Piscina Cardillo,A,Early Imperial Period,8,-30,100,130,0.1
92,Piscina Cardillo,A,Mid-Imperial Period,9,100,300,200,0.1
92,Piscina Cardillo,A,Late Imperial Period,10,300,400,100,0.1
93,Loricina,A,Early Iron Age,4,-800,-750,50,0.1
93,Loricina,A,Late Iron Age,5,-750,-700,50,0.1
94,Intossicata,A,Republican Period,7,-350,-30,320,0.1
94,Intossicata,A,Early Imperial Period,8,-30,100,130,0.1
94,Intossicata,A,Mid-Imperial Period,9,100,300,200,0.1
94,Intossicata,A,Late Imperial Period,10,300,400,100,0.1
95,Intossicata,A,Republican Period,7,-350,-30,320,0.1
95,Intossicata,A,Early Imperial Period,8,-30,100,130,0.1
95,Intossicata,A,Mid-Imperial Period,9,100,300,200,0.1
95,Intossicata,A,Late Imperial Period,10,300,400,100,0.1
96,I Marmi,A,Republican Period,7,-350,-30,320,0.1
97,Contrada Tinozzi,A,Republican Period,7,-350,-30,320,0.1
97,Contrada Tinozzi,A,Early Imperial Period,8,-30,100,130,0.1
97,Contrada Tinozzi,A,Mid-Imperial Period,9,100,300,200,0.1
97,Contrada Tinozzi,A,Late Imperial Period,10,300,400,100,0.1
98,Pantano Granieri,A,Republican Period,7,-350,-30,320,0.1
99,Nettuno,A,Republican Period,7,-350,-30,320,0.1
99,Nettuno,A,Early Imperial Period,8,-30,100,130,0.1
99,Nettuno,A,Mid-Imperial Period,9,100,300,200,0.1
99,Nettuno,A,Late Imperial Period,10,300,400,100,0.1
100,Nettuno,A,Republican Period,7,-350,-30,320,0.1
100,Nettuno,A,Early Imperial Period,8,-30,100,130,0.1
100,Nettuno,A,Mid-Imperial Period,9,100,300,200,0.1
100,Nettuno,A,Late Imperial Period,10,300,400,100,0.1
101,Loricina,A,Republican Period,7,-350,-30,320,0.1
101,Loricina,A,Early Imperial Period,8,-30,100,130,0.1
101,Loricina,A,Mid-Imperial Period,9,100,300,200,0.1
101,Loricina,A,Late Imperial Period,10,300,400,100,0.1
102,Nettuno,A,Republican Period,7,-350,-30,320,0.1
102,Nettuno,A,Early Imperial Period,8,-30,100,130,0.1
102,Nettuno,A,Mid-Imperial Period,9,100,300,200,0.1
102,Nettuno,A,Late Imperial Period,10,300,400,100,0.1
103,Nettuno,A,Republican Period,7,-350,-30,320,0.1
103,Nettuno,A,Early Imperial Period,8,-30,100,130,0.1
103,Nettuno,A,Mid-Imperial Period,9,100,300,200,0.1
103,Nettuno,A,Late Imperial Period,10,300,400,100,0.1
104,Nettuno,A,Republican Period,7,-350,-30,320,0.1
104,Nettuno,A,Early Imperial Period,8,-30,100,130,0.1
104,Nettuno,A,Mid-Imperial Period,9,100,300,200,0.1
104,Nettuno,A,Late Imperial Period,10,300,400,100,0.1
105,,A,Republican Period,7,-350,-30,320,0.1
105,,A,Early Imperial Period,8,-30,100,130,0.1
105,,A,Mid-Imperial Period,9,100,300,200,0.1
105,,A,Late Imperial Period,10,300,400,100,0.1
106,Campana,A,Republican Period,7,-350,-30,320,0.1
106,Campana,A,Early Imperial Period,8,-30,100,130,0.1
106,Campana,A,Mid-Imperial Period,9,100,300,200,0.1
106,Campana,A,Late Imperial Period,10,300,400,100,0.1
107,Campana,A,Republican Period,7,-350,-30,320,0.1
107,Campana,A,Early Imperial Period,8,-30,100,130,0.1
107,Campana,A,Mid-Imperial Period,9,100,300,200,0.1
107,Campana,A,Late Imperial Period,10,300,400,100,0.1
108,Campana,A,Middle Bronze Age,2,-1700,-1350,350,0.1
108,Campana,B,Late Iron Age,5,-700,-600,100,0.1
108,Campana,C,Archaic Period,6,-500,-350,150,0.1
108,Campana,C,Republican Period,7,-350,-30,320,0.1
112,Laghetto Granieri,A,Republican Period,7,-350,-30,320,0.1
112,Laghetto Granieri,A,Early Imperial Period,8,-30,100,130,0.1
112,Laghetto Granieri,A,Mid-Imperial Period,9,100,300,200,0.1
112,Laghetto Granieri,A,Late Imperial Period,10,300,400,100,0.1
113,Loricina,A,Republican Period,7,-100,-30,70,0.1
113,Loricina,A,Early Imperial Period,8,-30,100,130,0.1
113,Loricina,A,Mid-Imperial Period,9,100,250,150,0.1
114,Villa Borghese,A,Late Iron Age,5,-700,-580,120,0.1
114,Villa Borghese,A,Archaic Period,6,-580,-500,80,0.1
114,Villa Borghese,B,Republican Period,7,-350,-30,320,0.1
