Region,Estimated Total Span
Santa Valley,50
Santa Valley,150
Santa Valley,50
Santa Valley,200
Santa Valley,133.333333
Santa Valley,433.333333
Santa Valley,66.6666667
Santa Valley,150
Santa Valley,200
Santa Valley,190
Santa Valley,150
Santa Valley,133.333333
Santa Valley,150
Santa Valley,150
Santa Valley,400
Santa Valley,150
Santa Valley,900
Santa Valley,150
Santa Valley,150
Santa Valley,150
Santa Valley,133.333333
Santa Valley,123.333333
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,66.6666667
Santa Valley,150
Santa Valley,433.333333
Santa Valley,66.6666667
Santa Valley,66.6666667
Santa Valley,466.666667
Santa Valley,150
Santa Valley,150
Santa Valley,150
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,150
Santa Valley,283.333333
Santa Valley,150
Santa Valley,133.333333
Santa Valley,200
Santa Valley,50
Santa Valley,433.333333
Santa Valley,50
Santa Valley,433.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,400
Santa Valley,283.333333
Santa Valley,50
Santa Valley,1166.66667
Santa Valley,50
Santa Valley,433.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,400
Santa Valley,133.333333
Santa Valley,116.666667
Santa Valley,433.333333
Santa Valley,133.333333
Santa Valley,66.6666667
Santa Valley,190
Santa Valley,133.333333
Santa Valley,116.666667
Santa Valley,200
Santa Valley,116.666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,133.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,133.333333
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,123.333333
Santa Valley,50
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,133.333333
Santa Valley,66.6666667
Santa Valley,116.666667
Santa Valley,50
Santa Valley,50
Santa Valley,200
Santa Valley,50
Santa Valley,133.333333
Santa Valley,200
Santa Valley,400
Santa Valley,400
Santa Valley,133.333333
Santa Valley,200
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,150
Santa Valley,66.6666667
Santa Valley,133.333333
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,133.333333
Santa Valley,433.333333
Santa Valley,200
Santa Valley,373.333333
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,133.333333
Santa Valley,200
Santa Valley,20.6666667
Santa Valley,133.333333
Santa Valley,66.6666667
Santa Valley,116.666667
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,133.333333
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,116.666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,20.6666667
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,366.666667
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,123.333333
Santa Valley,20.6666667
Santa Valley,433.333333
Santa Valley,200
Santa Valley,50
Santa Valley,50
Santa Valley,123.333333
Santa Valley,50
Santa Valley,50
Santa Valley,190
Santa Valley,566.666667
Santa Valley,133.333333
Santa Valley,50
Santa Valley,433.333333
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,50
Santa Valley,50
Santa Valley,123.333333
Santa Valley,200
Santa Valley,433.333333
Santa Valley,116.666667
Santa Valley,133.333333
Santa Valley,20.6666667
Santa Valley,133.333333
Santa Valley,566.666667
Santa Valley,50
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,50
Santa Valley,50
Santa Valley,200
Santa Valley,400
Santa Valley,433.333333
Santa Valley,200
Santa Valley,200
Santa Valley,200
Santa Valley,200
Santa Valley,133.333333
Santa Valley,50
Santa Valley,133.333333
Santa Valley,200
Santa Valley,1166.66667
Santa Valley,200
Santa Valley,200
Santa Valley,1166.66667
Santa Valley,466.666667
Santa Valley,400
Santa Valley,133.333333
Santa Valley,283.333333
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,123.333333
Santa Valley,200
Santa Valley,433.333333
Santa Valley,433.333333
Santa Valley,66.6666667
Santa Valley,566.666667
Santa Valley,433.333333
Santa Valley,200
Santa Valley,50
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,433.333333
Santa Valley,66.6666667
Santa Valley,400
Santa Valley,1166.66667
Santa Valley,200
Santa Valley,566.666667
Santa Valley,66.6666667
Santa Valley,200
Santa Valley,123.333333
Santa Valley,433.333333
Santa Valley,66.6666667
Santa Valley,200
Santa Valley,66.6666667
Santa Valley,433.333333
Santa Valley,200
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,433.333333
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,66.6666667
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,900
Santa Valley,566.666667
Santa Valley,900
Santa Valley,400
Santa Valley,66.6666667
Santa Valley,433.333333
Santa Valley,133.333333
Santa Valley,200
Santa Valley,133.333333
Santa Valley,200
Santa Valley,50
Santa Valley,200
Santa Valley,50
Santa Valley,66.6666667
Santa Valley,50
Santa Valley,900
Santa Valley,1166.66667
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,66.6666667
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,66.6666667
Santa Valley,200
Santa Valley,200
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,200
Santa Valley,433.333333
Santa Valley,566.666667
Santa Valley,566.666667
Santa Valley,1166.66667
Santa Valley,133.333333
Santa Valley,433.333333
Santa Valley,400
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,400
Santa Valley,400
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,133.333333
Santa Valley,133.333333
Yautepec Valley,1250
Yautepec Valley,250
Yautepec Valley,400
Yautepec Valley,220
Yautepec Valley,400
Yautepec Valley,400
Yautepec Valley,150
Yautepec Valley,400
Yautepec Valley,700
Yautepec Valley,700
Yautepec Valley,150
Yautepec Valley,2250
Yautepec Valley,1650
Yautepec Valley,650
Yautepec Valley,250
Yautepec Valley,150
Yautepec Valley,80
Yautepec Valley,300
Yautepec Valley,400
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,700
Yautepec Valley,300
Yautepec Valley,400
Yautepec Valley,1550
Yautepec Valley,550
Yautepec Valley,80
Yautepec Valley,1100
Yautepec Valley,300
Yautepec Valley,1550
Yautepec Valley,550
Yautepec Valley,220
Yautepec Valley,950
Yautepec Valley,550
Yautepec Valley,600
Yautepec Valley,1700
Yautepec Valley,1400
Yautepec Valley,150
Yautepec Valley,300
Yautepec Valley,300
Yautepec Valley,300
Yautepec Valley,550
Yautepec Valley,250
Yautepec Valley,550
Yautepec Valley,300
Yautepec Valley,250
Yautepec Valley,700
Yautepec Valley,700
Yautepec Valley,550
Yautepec Valley,550
Yautepec Valley,3020
Yautepec Valley,950
Yautepec Valley,1000
Yautepec Valley,1000
Yautepec Valley,150
Yautepec Valley,400
Yautepec Valley,80
Yautepec Valley,550
Yautepec Valley,1000
Yautepec Valley,600
Yautepec Valley,700
Yautepec Valley,1400
Yautepec Valley,950
Yautepec Valley,550
Yautepec Valley,550
Yautepec Valley,700
Yautepec Valley,250
Yautepec Valley,550
Yautepec Valley,300
Yautepec Valley,700
Yautepec Valley,300
Yautepec Valley,300
Yautepec Valley,1000
Yautepec Valley,950
Yautepec Valley,670
Yautepec Valley,550
Yautepec Valley,80
Yautepec Valley,700
Yautepec Valley,80
Yautepec Valley,700
Yautepec Valley,80
Yautepec Valley,700
Yautepec Valley,400
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,700
Yautepec Valley,700
Yautepec Valley,400
Yautepec Valley,700
Yautepec Valley,700
Yautepec Valley,300
Yautepec Valley,80
Yautepec Valley,670
Yautepec Valley,1000
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,140
Yautepec Valley,80
Yautepec Valley,550
Yautepec Valley,300
Yautepec Valley,1350
Yautepec Valley,100
Yautepec Valley,550
Yautepec Valley,220
Yautepec Valley,400
Yautepec Valley,400
Yautepec Valley,700
Yautepec Valley,550
Yautepec Valley,450
Yautepec Valley,140
Yautepec Valley,300
Yautepec Valley,80
Yautepec Valley,250
Yautepec Valley,150
Yautepec Valley,700
Yautepec Valley,150
Yautepec Valley,250
Yautepec Valley,700
Yautepec Valley,300
Yautepec Valley,80
Yautepec Valley,700
Yautepec Valley,300
Yautepec Valley,700
Yautepec Valley,220
Yautepec Valley,2100
Yautepec Valley,550
Yautepec Valley,150
Yautepec Valley,700
Yautepec Valley,1000
Yautepec Valley,250
Yautepec Valley,2250
Yautepec Valley,1250
Yautepec Valley,700
Yautepec Valley,1100
Yautepec Valley,300
Yautepec Valley,80
Yautepec Valley,400
Yautepec Valley,370
Yautepec Valley,400
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,150
Yautepec Valley,150
Yautepec Valley,400
Yautepec Valley,150
Yautepec Valley,400
Yautepec Valley,550
Yautepec Valley,400
Yautepec Valley,400
Yautepec Valley,650
Yautepec Valley,370
Yautepec Valley,370
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,670
Yautepec Valley,700
Yautepec Valley,220
Yautepec Valley,920
Yautepec Valley,100
Yautepec Valley,550
Yautepec Valley,2620
Yautepec Valley,920
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,550
Yautepec Valley,220
Yautepec Valley,1700
Yautepec Valley,800
Yautepec Valley,550
Yautepec Valley,250
Yautepec Valley,80
Yautepec Valley,250
Yautepec Valley,550
Yautepec Valley,2620
Yautepec Valley,80
Yautepec Valley,700
Yautepec Valley,150
Yautepec Valley,80
Yautepec Valley,300
Yautepec Valley,140
Yautepec Valley,700
Yautepec Valley,140
Yautepec Valley,1700
Yautepec Valley,300
Yautepec Valley,80
Yautepec Valley,600
Yautepec Valley,1620
Yautepec Valley,1250
Yautepec Valley,220
Yautepec Valley,2400
Yautepec Valley,80
Yautepec Valley,400
Yautepec Valley,550
Yautepec Valley,400
Yautepec Valley,550
Yautepec Valley,2400
Yautepec Valley,2620
Yautepec Valley,1650
Yautepec Valley,950
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,700
Yautepec Valley,150
Yautepec Valley,400
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,550
Yautepec Valley,80
Yautepec Valley,400
Yautepec Valley,2020
Yautepec Valley,400
Yautepec Valley,150
Yautepec Valley,1000
Yautepec Valley,1320
Yautepec Valley,2620
Yautepec Valley,950
Yautepec Valley,370
Yautepec Valley,550
Yautepec Valley,300
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,300
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,250
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,370
Yautepec Valley,370
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,700
Yautepec Valley,550
Yautepec Valley,150
Yautepec Valley,80
Yautepec Valley,800
Yautepec Valley,150
Yautepec Valley,300
Yautepec Valley,150
Yautepec Valley,80
Yautepec Valley,400
Yautepec Valley,150
Yautepec Valley,400
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,550
Yautepec Valley,920
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,1000
Yautepec Valley,150
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,670
Yautepec Valley,220
Yautepec Valley,1100
Yautepec Valley,100
Yautepec Valley,1070
Yautepec Valley,400
Yautepec Valley,400
Yautepec Valley,950
Yautepec Valley,300
Yautepec Valley,80
Yautepec Valley,1100
Yautepec Valley,450
Yautepec Valley,370
Yautepec Valley,1550
Yautepec Valley,450
Yautepec Valley,80
Yautepec Valley,400
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,400
Yautepec Valley,920
Yautepec Valley,920
Yautepec Valley,920
Yautepec Valley,920
Yautepec Valley,920
Yautepec Valley,670
Yautepec Valley,670
Yautepec Valley,670
Yautepec Valley,150
Yautepec Valley,80
Yautepec Valley,80
Yautepec Valley,1700
Yautepec Valley,300
Yautepec Valley,80
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,400
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,370
Yautepec Valley,400
Yautepec Valley,370
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,1000
Yautepec Valley,250
Yautepec Valley,550
Yautepec Valley,220
Yautepec Valley,300
Yautepec Valley,1000
Yautepec Valley,250
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,950
Yautepec Valley,670
Yautepec Valley,600
Yautepec Valley,250
Yautepec Valley,550
Yautepec Valley,220
Yautepec Valley,700
Yautepec Valley,550
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,400
Yautepec Valley,400
Yautepec Valley,370
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,700
Yautepec Valley,400
Yautepec Valley,400
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,950
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,550
Yautepec Valley,400
Yautepec Valley,1320
Yautepec Valley,100
Yautepec Valley,370
Yautepec Valley,370
Yautepec Valley,700
Yautepec Valley,400
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,1100
Yautepec Valley,670
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,370
Yautepec Valley,220
Yautepec Valley,550
Yautepec Valley,550
Yautepec Valley,80
Yautepec Valley,1000
Yautepec Valley,250
Yautepec Valley,250
Yautepec Valley,80
Yautepec Valley,400
Yautepec Valley,650
Yautepec Valley,1400
Yautepec Valley,1550
Yautepec Valley,220
Yautepec Valley,450
Yautepec Valley,250
Yautepec Valley,300
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,100
Yautepec Valley,150
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,80
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,550
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,550
Yautepec Valley,250
Yautepec Valley,300
Yautepec Valley,1000
Yautepec Valley,150
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,250
Yautepec Valley,80
Yautepec Valley,250
Yautepec Valley,550
Yautepec Valley,220
Yautepec Valley,80
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,300
Yautepec Valley,1950
Yautepec Valley,250
Yautepec Valley,400
Yautepec Valley,300
Yautepec Valley,150
Yautepec Valley,370
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,220
Yautepec Valley,1000
Yautepec Valley,250
Yautepec Valley,670
Yautepec Valley,550
Yautepec Valley,1000
Yautepec Valley,700
Yautepec Valley,80
Yautepec Valley,600
Yautepec Valley,250
Yautepec Valley,920
Yautepec Valley,150
Yautepec Valley,400
Yautepec Valley,370
Yautepec Valley,1700
Yautepec Valley,1700
Yautepec Valley,150
Yautepec Valley,550
Yautepec Valley,600
Yautepec Valley,550
Yautepec Valley,250
Yautepec Valley,370
Yautepec Valley,600
Yautepec Valley,950
Yautepec Valley,80
Yautepec Valley,700
Yautepec Valley,670
Yautepec Valley,950
Yautepec Valley,550
Yautepec Valley,250
Yautepec Valley,290
Yautepec Valley,1250
Yautepec Valley,140
Yautepec Valley,1000
Yautepec Valley,290
Yautepec Valley,250
Yautepec Valley,250
Yautepec Valley,370
Yautepec Valley,550
Yautepec Valley,140
Yautepec Valley,250
Yautepec Valley,370
Yautepec Valley,150
Yautepec Valley,290
Yautepec Valley,600
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,700
Yautepec Valley,300
Yautepec Valley,700
Yautepec Valley,550
Yautepec Valley,400
Yautepec Valley,370
Yautepec Valley,370
Yautepec Valley,550
Yautepec Valley,250
Yautepec Valley,150
Yautepec Valley,950
Yautepec Valley,1350
Yautepec Valley,80
Yautepec Valley,300
Yautepec Valley,550
Yautepec Valley,700
Yautepec Valley,800
Yautepec Valley,2620
Yautepec Valley,1950
Yautepec Valley,370
Yautepec Valley,100
Yautepec Valley,80
Yautepec Valley,550
Yautepec Valley,220
Yautepec Valley,100
Yautepec Valley,220
Yautepec Valley,700
Yautepec Valley,400
Yautepec Valley,2020
Yautepec Valley,600
Yautepec Valley,700
Yautepec Valley,700
Yautepec Valley,300
Yautepec Valley,220
Yautepec Valley,250
Yautepec Valley,600
Yautepec Valley,250
Yautepec Valley,220
Yautepec Valley,370
Yautepec Valley,250
Yautepec Valley,140
Yautepec Valley,920
Yautepec Valley,450
Yautepec Valley,600
Yautepec Valley,700
Yautepec Valley,700
Yautepec Valley,370
Yautepec Valley,700
Yautepec Valley,370
Yautepec Valley,290
Yautepec Valley,150
Yautepec Valley,300
Yautepec Valley,700
Yautepec Valley,370
Yautepec Valley,400
Yautepec Valley,150
Yautepec Valley,220
Yautepec Valley,400
Yautepec Valley,250
Yautepec Valley,450
Yautepec Valley,250
Yautepec Valley,370
Yautepec Valley,550
Yautepec Valley,370
Yautepec Valley,700
Yautepec Valley,370
Yautepec Valley,150
Yautepec Valley,290
Yautepec Valley,400
Yautepec Valley,370
Yautepec Valley,1100
Yautepec Valley,370
